feature,importance,rank
H_L0.1_weight,0.19179645152360375,1
MI_dir_L0.1_weight,0.19163566910881558,2
HpHp_L0.1_weight,0.10079880590420377,3
HH_L0.1_magnitude,0.08745339603300559,4
HH_jit_L0.1_weight,0.05628445739043167,5
MI_dir_L0.1_variance,0.056036132341593506,6
H_L0.1_variance,0.0471243429378997,7
HH_jit_L0.1_mean,0.04605995796562534,8
HpHp_L0.1_magnitude,0.03904941542506705,9
H_L0.1_mean,0.03531434223881438,10
HH_L0.1_weight,0.03519232327275386,11
MI_dir_L0.1_mean,0.03178440274029802,12
HH_jit_L0.1_variance,0.016911840739552073,13
HH_L0.1_mean,0.014781373711236995,14
HpHp_L0.1_mean,0.01304921226865524,15
HpHp_L0.1_std,0.013030226915242957,16
HH_L0.1_radius,0.009049089409286911,17
HH_L0.1_std,0.006706394213872171,18
HH_L0.1_pcc,0.0035223063634296377,19
HH_L0.1_covariance,0.003206987228253718,20
HpHp_L0.1_radius,0.001099254547316766,21
HpHp_L0.1_covariance,9.47566487507887e-05,22
HpHp_L0.1_pcc,1.8861072290651768e-05,23
